"Падение напряжения, В",Pin,Name,Function,Description,Recommended usage
0.7215,A8,"P0.31, AIN7","Digital I/O, Analog input","General purpose I/O, Analog input","Standard drive, low frequency I/O only"
0.7216,A10,"P0.29, AIN5","Digital I/O, Analog input","General purpose I/O, Analog input","Standard drive, low frequency I/O only"
0.7102,A12,"P0.02, AIN0","Digital I/O, Analog input","General purpose I/O, Analog input","Standard drive, low frequency I/O only"
0.7963,A14,P1.15,Digital I/O,General purpose I/O,"Standard drive, low frequency I/O only"
0.7963,A16,P1.13,Digital I/O,General purpose I/O,"Standard drive, low frequency I/O only"
0.5272,A18,DEC2,Power,1.3 V regulator supply decoupling,
0.7966,A20,P1.10,Digital I/O,General purpose I/O,"Standard drive, low frequency I/O only"
0.5132,A22,VDD,Power,Power supply,
0.7872,A23,XC2,Analog input,Connection for 32 MHz crystal,
0.5109,B1,VDD,Power,Power supply,
0.7148,B3,DCC,Power,DC/DC converter output,
0.5269,B5,DEC4,Power,1.3 V regulator supply decoupling,Has to be connected to DEC6 (pin E24)
0.0,B7,VSS,Power,Ground,
0.7212,B9,"P0.30, AIN6","Digital I/O, Analog input","General purpose I/O, Analog input","Standard drive, low frequency I/O only"
0.7212,B11,"P0.28, AIN4","Digital I/O, Analog input","General purpose I/O, Analog input","Standard drive, low frequency I/O only"
0.7213,B13,"P0.03, AIN1","Digital I/O, Analog input","General purpose I/O, Analog input","Standard drive, low frequency I/O only"
0.7099,B15,P1.14,Digital I/O,General purpose I/O,"Standard drive, low frequency I/O only"
0.796,B17,P1.12,Digital I/O,General purpose I/O,"Standard drive, low frequency I/O only"
0.7957,B19,P1.11,Digital I/O,General purpose I/O,"Standard drive, low frequency I/O only"
0.7875,B24,XC1,Analog input,Connection for 32 MHz crystal,
0.7959,B24,XC1,Analog input,Connection for 32 MHz crystal,
0.5112,C1,DEC1,Power,1.1 V regulator supply decoupling,
0.7363,D2,"P0.00, XL1","Digital I/O, Analog input","General purpose I/O, Connection for 32.768 kHz crystal",
0.5118,D23,DEC3,Power,"Power supply, decoupling",
0.7875,E24,DEC6,Power,1.3 V regulator supply decoupling,Has to be connected to DEC4 (pin B5)
0.7559,F2,"P0.01, XL2","Digital I/O, Analog input","General purpose I/O, Connection for 32.768 kHz crystal",
0.0,F23,VSS_PA,Power,Ground (radio supply),
0.7954,G1,P0.26,Digital I/O,General purpose I/O,
0.7952,H2,P0.27,Digital I/O,General purpose I/O,
0.0,H23,ANT,RF,Single-ended radio antenna connection,See Reference circuitry for guidelines on RF performance
0.7004,J1,"P0.04, AIN2","Digital I/O, Analog input","General purpose I/O, Analog input",
0.6467,J24,"P0.10, NFC2","Digital I/O, NFC input","General purpose I/O, NFC antenna connection","Standard drive, low frequency I/O only"
